Depth,age,NoteW,Source
188.57,6.688,Zeeden,Wilkens et al. 2017
188.92,6.708,Zeeden,Wilkens et al. 2017
189.28,6.738,Zeeden,Wilkens et al. 2017
189.47,6.76,Zeeden,Wilkens et al. 2017
189.81,6.78,Zeeden,Wilkens et al. 2017
190.08,6.802,Zeeden,Wilkens et al. 2017
190.43,6.819,Zeeden,Wilkens et al. 2017
190.76,6.835,Zeeden,Wilkens et al. 2017
191.22,6.857,Zeeden,Wilkens et al. 2017
191.43,6.876,Zeeden,Wilkens et al. 2017
192.31,6.93,Zeeden,Wilkens et al. 2017
192.66,6.95,Zeeden,Wilkens et al. 2017
193.16,6.973,Zeeden,Wilkens et al. 2017
193.96,7.021,Zeeden,Wilkens et al. 2017
194.22,7.044,Zeeden,Wilkens et al. 2017
194.56,7.065,Zeeden,Wilkens et al. 2017
194.81,7.088,Zeeden,Wilkens et al. 2017
195.11,7.108,Zeeden,Wilkens et al. 2017
195.41,7.137,Zeeden,Wilkens et al. 2017
195.59,7.157,Zeeden,Wilkens et al. 2017
195.86,7.18,Zeeden,Wilkens et al. 2017
196.04,7.201,Zeeden,Wilkens et al. 2017
196.37,7.224,Zeeden,Wilkens et al. 2017
196.65,7.254,Zeeden,Wilkens et al. 2017
196.87,7.271,Zeeden,Wilkens et al. 2017
197.27,7.294,left unchanged,Wilkens et al. 2017
197.48,7.308,adjusted by precession cycle,Wilkens et al. 2017
197.71,7.331,adjusted by precession cycle,Wilkens et al. 2017
198.02,7.349,adjusted by precession cycle,Wilkens et al. 2017
198.64,7.399,adjusted by precession cycle,Wilkens et al. 2017
199,7.421,adjusted by precession cycle,Wilkens et al. 2017
199.72,7.465,adjusted by precession cycle,Wilkens et al. 2017
200.02,7.491,adjusted by precession cycle,Wilkens et al. 2017
200.39,7.512,adjusted by precession cycle,Wilkens et al. 2017
200.7,7.536,adjusted by precession cycle,Wilkens et al. 2017
201.03,7.556,adjusted by precession cycle,Wilkens et al. 2017
201.52,7.581,adjusted by precession cycle,Wilkens et al. 2017
201.95,7.607,adjusted by precession cycle,Wilkens et al. 2017
202.2,7.627,New,Wilkens et al. 2017
202.4,7.647,New,Wilkens et al. 2017
202.65,7.665,New,Wilkens et al. 2017
203,7.685,New,Wilkens et al. 2017
203.86,7.732,New,Wilkens et al. 2017
204.37,7.755,New,Wilkens et al. 2017
204.74,7.779,left unchanged,Wilkens et al. 2017
205.11,7.799,Zeeden,Wilkens et al. 2017
205.46,7.822,Zeeden,Wilkens et al. 2017
205.87,7.846,Zeeden,Wilkens et al. 2017
206.29,7.87,Zeeden,Wilkens et al. 2017
206.66,7.892,Zeeden,Wilkens et al. 2017
207.05,7.913,Zeeden,Wilkens et al. 2017
207.55,7.936,Zeeden,Wilkens et al. 2017
208.03,7.962,Zeeden,Wilkens et al. 2017
208.47,7.985,Zeeden,Wilkens et al. 2017
208.74,8.006,Zeeden,Wilkens et al. 2017
209.12,8.027,Zeeden,Wilkens et al. 2017
209.99,8.08,Zeeden,Wilkens et al. 2017
210.25,8.102,Zeeden,Wilkens et al. 2017
210.62,8.119,Zeeden,Wilkens et al. 2017
210.95,8.137,Zeeden,Wilkens et al. 2017
211.33,8.156,Zeeden,Wilkens et al. 2017
211.73,8.176,Zeeden,Wilkens et al. 2017
212.18,8.198,Zeeden,Wilkens et al. 2017
212.81,8.222,Zeeden,Wilkens et al. 2017
213.21,8.248,Zeeden,Wilkens et al. 2017
213.72,8.27,Zeeden,Wilkens et al. 2017
214.11,8.291,Zeeden,Wilkens et al. 2017
214.555,8.313,Zeeden,Wilkens et al. 2017
215.445,8.363,Zeeden,Wilkens et al. 2017
215.855,8.385,Zeeden,Wilkens et al. 2017
216.295,8.405,Zeeden,Wilkens et al. 2017
216.665,8.426,Zeeden,Wilkens et al. 2017
216.965,8.443,Zeeden,Wilkens et al. 2017
217.185,8.46,Zeeden,Wilkens et al. 2017
217.415,8.48,Zeeden,Wilkens et al. 2017
217.635,8.499,Zeeden,Wilkens et al. 2017
217.945,8.519,Zeeden,Wilkens et al. 2017
218.195,8.536,Zeeden,Wilkens et al. 2017
218.545,8.557,Zeeden,Wilkens et al. 2017
218.805,8.576,Zeeden,Wilkens et al. 2017
219.105,8.599,Zeeden,Wilkens et al. 2017
219.805,8.649,Zeeden,Wilkens et al. 2017
220.105,8.671,Zeeden,Wilkens et al. 2017
220.455,8.691,Zeeden,Wilkens et al. 2017
220.785,8.715,Zeeden,Wilkens et al. 2017
221.555,8.764,Zeeden,Wilkens et al. 2017
221.865,8.785,Zeeden,Wilkens et al. 2017
222.205,8.806,Zeeden,Wilkens et al. 2017
222.695,8.841,Zeeden,Wilkens et al. 2017
223.005,8.859,Zeeden,Wilkens et al. 2017
223.365,8.88,Zeeden,Wilkens et al. 2017
223.685,8.898,Zeeden,Wilkens et al. 2017
223.995,8.915,Zeeden,Wilkens et al. 2017
224.305,8.935,Zeeden,Wilkens et al. 2017
224.555,8.956,Zeeden,Wilkens et al. 2017
224.895,8.976,Zeeden,Wilkens et al. 2017
226.055,9.035,Zeeden,Wilkens et al. 2017
226.355,9.058,Zeeden,Wilkens et al. 2017
226.755,9.079,Zeeden,Wilkens et al. 2017
227.195,9.102,Zeeden,Wilkens et al. 2017
227.525,9.127,Zeeden,Wilkens et al. 2017
227.895,9.15,Zeeden,Wilkens et al. 2017
228.275,9.171,Zeeden,Wilkens et al. 2017
228.645,9.194,Zeeden,Wilkens et al. 2017
229.275,9.242,Zeeden,Wilkens et al. 2017
229.645,9.266,Zeeden,Wilkens et al. 2017
229.885,9.284,Zeeden,Wilkens et al. 2017
230.525,9.321,Zeeden,Wilkens et al. 2017
230.915,9.345,Zeeden,Wilkens et al. 2017
231.275,9.362,Zeeden,Wilkens et al. 2017
231.725,9.394,Zeeden,Wilkens et al. 2017
232.055,9.412,Zeeden,Wilkens et al. 2017
232.465,9.437,Zeeden,Wilkens et al. 2017
232.745,9.459,Zeeden,Wilkens et al. 2017
233.135,9.482,Zeeden,Wilkens et al. 2017
233.501,9.507,Zeeden,Wilkens et al. 2017
233.801,9.527,Zeeden,Wilkens et al. 2017
234.171,9.553,Zeeden,Wilkens et al. 2017
234.471,9.573,Zeeden,Wilkens et al. 2017
234.941,9.599,Zeeden,Wilkens et al. 2017
235.611,9.641,Zeeden,Wilkens et al. 2017
236.271,9.676,Zeeden,Wilkens et al. 2017
236.471,9.692,Zeeden,Wilkens et al. 2017
236.861,9.719,Zeeden,Wilkens et al. 2017
237.271,9.751,Zeeden,Wilkens et al. 2017
237.661,9.769,Zeeden,Wilkens et al. 2017
238.061,9.792,Zeeden,Wilkens et al. 2017
238.341,9.812,Zeeden,Wilkens et al. 2017
238.891,9.839,Zeeden,Wilkens et al. 2017
239.131,9.863,Zeeden,Wilkens et al. 2017
