"x","y"
209,2.06892880523047
210,2.20213692973723
211,2.29030588229862
212,2.33074005162614
213,2.3214177292534
214,2.2606541581251
215,2.14923555820039
216,1.98806046657543
217,1.77937522599064
218,1.52722325337876
219,1.23654650276873
220,0.912511562463485
221,0.563429900602591
222,0.196714448229416
223,-0.178874057968402
224,-0.552553172836872
225,-0.914663622592189
226,-1.25509686490248
227,-1.56273350320267
228,-1.82881280080513
229,-2.04502328957033
230,-2.2036150870438
231,-2.30009550774474
232,-2.33165662324761
233,-2.29627672508603
234,-2.19653910741149
235,-2.03536401578653
236,-1.81746876996602
237,-1.55094020381547
238,-1.24386515120039
239,-0.905228983082432
240,-0.54603877888966
241,-0.176178446679904
242,0.19424347121496
243,0.55466916391496
244,0.896787163280565
245,1.21228600117221
246,1.4935281122725
247,1.73534690827845
248,1.93313738657222
249,2.08285613022105
250,2.18337996785474
251,2.23358572810307
252,2.23324877669201
253,2.18427850495091
254,2.08914588989422
255,1.95054654281046
256,1.77375936913959
257,1.56282778581438
258,1.32381691823395
259,1.06357811175657
260,0.788401126055411
261,0.505249623625773
262,0.222322755470177
263,-0.054314353012249
264,-0.317698039326211
265,-0.561650860935563
266,-0.781230863811381
267,-0.972394631020923
268,-1.13154801417951
269,-1.25711857336885
270,-1.34753386867066
271,-1.40223231439983
272,-1.4220001305155
273,-1.40751121983981
274,-1.36022570515402
275,-1.28227761206153
276,-1.17625023471381
277,-1.04495150153641
278,-0.892087878050991
279,-0.721365829779251
280,-0.536941090790969
281,-0.343194029429954
282,-0.144505014040015
283,0.0554194898571512
284,0.25219911391773
285,0.442576661168122
286,0.622845666086636
287,0.790422834521789
288,0.942050969499978
289,1.07593299682886
290,1.18926098808294
291,1.28012555193283
292,1.34684193132323
293,1.38761305206181
294,1.40120342564133
295,1.38682683210266
296,1.34369705148664
297,1.2719264009303
298,1.17218878325576
299,1.04571968697025
300,0.894316186266103
301,0.721010843842884
302,0.529060856674205
303,0.322285007418761
304,0.105737567242506
305,-0.115976461236715
306,-0.336904269756785
307,-0.551430001466662
308,-0.753713165241266
309,-0.937800952818488
310,-1.0976282387992
311,-1.22802843488045
312,-1.32372263562223
313,-1.38089205836586
314,-1.39661645754878
315,-1.36887412470463
316,-1.29721579128531
317,-1.18332621434613
318,-1.02911478521646
319,-0.838961872240115
320,-0.617697112308985
321,-0.371273313685171
